n         X1          X2        X3          X4         X5
48  40.31443 12.2637211 4.2725301  2.690336702  470.3227
49  37.36175 17.7138488 5.2579581  3.515819042  640.5396
50  34.49310 29.6600511 4.4745147  1.814528917  616.5414
51  31.50285 12.3524542 5.3951416  3.711012114  708.7046
52  30.41181 15.3199673 3.0971380  1.225012673  415.1425
53  31.30947 21.8012328 2.9821070  1.356585572  717.4473
54  38.21491 17.1077924 3.1001718  1.705889595  821.6434
55  33.12848 16.3954755 2.6402855  1.119867713  977.8620
56  29.91741 12.4842549 3.8615233  2.351865338  946.6553
57  32.21741 24.0486329 4.9344455  2.430240809  612.7674
58  33.92354 18.2086530 3.7505342  2.275760147  548.7025
59  34.35755 18.2878744 4.0761496  2.399455216  609.9188
60  39.09961 11.9369497 5.1601697  4.453473750  583.4562
61  34.67206 14.2244703 2.8109346  1.397358883  483.9703
62  35.15972  9.9635830 1.1860505  0.398629291  379.2679
63  36.13382 13.1007757 3.6391385  2.215487495  737.3440
64  34.13470 11.9440843 4.1792696  3.021881251  373.8945
65  33.05849 14.2526259 2.5164880  1.144002457  831.7006
66  34.77317 12.9268860 2.9580500  2.127539009  271.9448
67  33.91632 21.1816782 3.3691508  1.593562376  788.5473
68  38.80024 15.5932998 3.7599435  1.704323146  349.5280
69  33.87834 20.3824224 4.1819089  2.234738115  976.7992
70  36.94348 13.2424802 2.4328527  1.201900450  590.9613
71  35.42408 11.0281116 3.4381260  2.175329123  789.9548
72  32.00243 18.2357506 3.2977295  1.702731801  619.3199
73  35.53563 21.1731882 5.0772780  3.364410467  667.8081
74  36.57872 18.5134984 3.8111542  2.022338990  532.8153
75  34.58157 18.4028585 4.2558804  2.209948885  254.4340
76  38.11458 13.8279738 2.1555971  0.792552553  745.4308
77  33.96195 12.1966569 2.1310582  0.442851936  599.6087
78  40.60196 10.2900917 4.5795424  3.308106151  742.1273
79  37.23365 17.2486682 4.2492259  2.374687226  608.0262
80  35.18752 14.4879390 2.4589134  1.179741848  516.3128
81  35.09131 13.8955207 2.4796608  1.242672418  843.9613
82  33.88360 11.0434617 2.3838484  0.786968299  946.9296
83  36.05631  2.7366761 3.1382804  2.619212103  779.7161
84  31.80644 10.5935420 3.0657638  1.516871906  792.4361
85  32.03078  7.2932588 1.8500120  0.972016061  618.4698
86  31.97439 12.2309732 2.9307097  1.641242698  482.9962
87  33.41585 15.1729430 3.2346205  1.459987380  722.3087
88  34.83590  9.0672474 2.2547806  0.729548481  760.9886
89  34.07874 14.8186135 4.3782988  2.848985568  704.4110
90  30.51847 19.5525617 2.7483877  0.880644013  802.9266
91  41.11649 16.7697727 4.9652757  3.421897002  572.2814
92  31.86260  5.9071712 2.0254750  1.085207059  722.7125
93  33.93557  6.8673028 3.3419286  2.217820501  632.4388
94  31.64775 11.5018495 3.0143658  1.565383881  893.3100
95  36.42764  2.6879399 2.3730542  1.667839487  580.6140
96  33.55681 19.4611140 5.3700395  3.375138483  860.8403
97  32.83514 14.5207977 1.7116365  0.486542217  609.6175
98  41.15445 17.0437206 2.9758733  1.398864312  448.8329
99  34.06497 15.1390645 3.3257960  1.836367701  807.5383
100 36.15974 17.9959424 3.7427453  2.471433831  848.6663
101 31.97420  4.5672096 1.6051469  0.495726474  902.6268
102 37.81647 14.4430307 3.3078244  2.282633828  654.4218
103 38.18992 19.7148506 6.6724738  4.923913106  292.1121
104 38.20235  4.1662657 2.4302003  1.907144170  959.3824
105 36.79703 14.4377482 1.7547480  0.476645657  589.7416
106 30.24234  8.8689964 3.0981405  1.978323649  362.8758
107 35.44253 16.1044025 4.4253141  2.483912602  467.3997
108 35.67199 22.7275665 6.6014358  4.588936312  983.6734
109 35.15859 16.4866177 3.3307372  1.903304764  692.8925
110 35.59995 13.9974123 3.8790565  2.068375862  638.3266
111 37.92780 14.3354720 4.8902398  3.473240468  532.8207
112 38.37276 14.9782410 5.7714694  4.528567803  854.7122
113 35.61459  7.8095349 1.2907707  0.136522302  902.9447
114 28.43684  7.8931410 1.3762257  0.303128520  750.1985
115 35.15082  9.2986662 2.2675480  1.209324017  727.7074
116 39.29977 23.1754742 4.0152037  2.235517808  647.7428
117 31.61607  7.4347720 2.8418679  1.641615722  744.3856
118 33.91155  4.6736697 1.8306007  0.939439199  846.1858
119 30.00610 17.0749291 2.8077713  1.013070862  752.1481
120 32.06405 18.1431082 1.8732453  0.283847043  366.7407
121 31.51982 13.2209738 2.7735400  1.175012005  859.7172
122 33.51161 11.5894067 3.5128526  1.942143002  599.7493
123 45.76108  9.3947821 3.6653768  3.197809892  291.9573
124 35.74467 16.4048027 3.5250365  2.472768234  644.8891
125 35.71543 14.6614588 1.3742576 -0.098383070  514.6015
126 35.77721  5.5813392 2.3547303  1.272775393  721.9845
127 40.28525 11.7319918 1.8934043  0.954305075  681.0084
128 36.18220 27.6093756 4.4201778  1.874694787  747.3249
129 31.38604 18.1867633 3.5142107  1.974713492  416.2408
130 31.00990  9.4367333 0.9760511  0.489921058  997.2619
131 36.98786 14.3316724 2.0260779  0.886869121  441.5461
132 37.04399  9.9697422 4.4279214  3.102333522  624.7331
133 30.60210 19.4022210 3.7772204  2.125546061  810.5856
134 35.14846 14.4891010 4.8976757  3.786892849  330.1990
135 34.75744 15.8902550 2.8553989  1.286697057  634.5638
136 31.00669  8.3741720 2.7014745  1.455511947  524.4626
137 32.09708  3.7626144 1.2738106  0.892012151  748.2858
138 34.23395 12.1625503 3.3066416  2.227265245  856.2250
139 37.38029  6.8789839 2.1391847  1.254937165  522.7878
140 35.39977 18.7962497 3.6130073  2.068861366  441.4917
141 28.84948 12.9402648 3.3688443  2.105476925  665.3561
142 37.48337 12.1292329 0.8692693  0.609579270  923.1198
143 31.35966 12.1249054 2.1106915  0.743317582  425.0172
144 34.26190 20.1455361 3.9189729  2.032246732  424.4352
145 35.04149 14.6871508 3.0677869  2.135879827  798.2569
146 39.17873 23.1070725 5.2734694  3.429815462  762.8794
147 34.65594 13.9729118 3.2810709  2.211619167  707.0275
148 33.89407 11.3894135 3.9321643  2.601980015  760.3197
149 37.31721 11.8885440 4.3276154  2.872405352  619.1905
150 43.15538 23.2481344 4.7636101  3.158818032  614.4539
151 40.30688 14.9372596 4.4286783  3.320709047  280.2062
152 29.07541  7.6014168 1.6788713  0.440843181  142.6810
153 36.97946 15.1972834 3.4552157  2.230276048  381.8407
154 36.55152 24.4168384 4.4245933  2.319749557  603.5386
155 31.99982 13.4010112 2.6074388  1.384818251  714.9906
156 35.95169  6.9157798 2.1817666  1.315351274  256.2739
157 33.94770 17.0658015 2.3259428  0.977023963  660.0936
158 37.60949 13.7611943 3.1812035  1.289162267  838.4500
159 36.23309 14.7037516 4.1377987  2.715982821  622.9240
160 34.79315 14.8801321 3.6498666  2.143442938  368.1583
161 34.15495 10.1022990 3.3075751  2.096082764  927.4459
162 35.37218  5.4670520 2.3276331  1.039636923  612.7497
163 35.70014 17.1763579 3.1987843  1.710253139  545.0362
164 35.38807 15.7849218 2.0982894  0.405288011  981.8043
165 33.47864 12.9310488 1.8689420  0.458565353  709.3362
166 30.78272 12.7701645 3.1625891  1.989001987  622.5688
167 35.03275  5.8077837 3.5589209  2.227255228  431.9255
168 30.37431 25.3186635 3.2737165  0.951989090  574.6685
169 34.92146 13.7288888 4.5951804  3.143702752  225.7497
170 37.08813 10.1114083 4.2268277  2.954082197  608.7149
171 40.05392 21.2890218 5.4594580  3.990701678  886.6009
172 34.22807  3.8598299 2.0102426  1.826545000  987.7094
173 37.90890  9.7747482 2.8898436  1.895652823  886.8376
174 37.54743 11.1627342 3.5326086  2.524710798  730.2186
175 30.47866  6.8465445 1.4947611  0.328050541  637.8769
176 31.02738 18.5643389 2.4427646  0.881344766  535.8278
177 35.49340  0.5456788 1.4566831  0.816674040  418.4900
178 37.25647 10.6613071 3.9562179  2.486578106  513.1052
179 42.02914 21.5017123 3.3253138  1.409355659  371.2135
180 33.34211 11.1814218 3.0195962  2.075784187  586.3673
181 36.04444  9.7675744 3.0083490  1.949744440  408.7615
182 33.63109 13.2351441 2.5542964  1.129285869  647.2321
183 34.82618  8.6654601 3.9617788  3.176293511  848.4612
184 43.30576 14.2443153 5.1843879  3.991067442  659.9329
185 34.66334 27.5748739 4.5096254  2.295980112  651.1679
186 37.39132  7.7676961 3.2083634  2.194515412  791.7179
187 32.80708  6.7053331 5.3318082  3.735108375  947.0339
188 37.35637  7.6279922 2.1367650  1.169639212  558.7098
189 34.47532  6.0439141 1.0763636  0.353509628  868.5305
190 34.47455 20.6416495 4.9725902  3.274681318  704.4766
191 37.14399 14.2031673 2.3212279  0.625838986  539.6744
192 36.20049 11.6098257 1.9754526  0.984085525  768.1979
193 33.08079  9.8568589 2.6238695  1.248623381  705.8553
194 36.44315 21.4391390 4.4970979  2.586072344  758.4496
195 32.70639 19.1303613 2.6618785  0.460607141  212.7616
196 34.17635  8.6397006 2.1938819  1.104607363  719.5988
197 35.84767 20.9892081 3.6078638  1.680689070  799.5393
198 30.78127 11.8230196 1.9192162  0.520750314  702.5632
199 38.56153 13.3340867 3.9536419  2.725762896  864.3233
200 29.73440 16.7957077 2.3720200  0.602583346  832.7867
